Review Title,Rating,review_text,Date,Verified Purchase
Not Bad,1.0 out of 5 stars,Okay product,Reviewed in India on 6 February 2024,Verified Purchase
Good,5.0 out of 5 stars,Good,Reviewed in India on 15 January 2024,Verified Purchase
Good,5.0 out of 5 stars,Good,Reviewed in India on 23 December 2023,Verified Purchase
Horrible Taste,1.0 out of 5 stars,"Its weird not sweet , not bubblegum, but medicine like.I trusted the brand and went for this. It tastes weird. The CLOSEUP mouthwash series of clove & spice is good , Listerine is Best but Maxfresh is super weird. Never buying again.",Reviewed in India on 20 December 2023,N/A
Solution of oral problem,5.0 out of 5 stars,It is solution of almost all oral problem.i was facing lot of oral problem before its using but now all problem have been vanished.,Reviewed in India on 9 December 2023,Verified Purchase
Average,3.0 out of 5 stars,The product is average.  I have used listerine.  I can clearly view the difference.  This product needs to be more long lasting.  Not as potent as listerine,Reviewed in India on 12 November 2023,Verified Purchase
As expected,5.0 out of 5 stars,No specific comment,Reviewed in India on 6 November 2023,Verified Purchase
Super,5.0 out of 5 stars,I like it,Reviewed in India on 26 October 2023,Verified Purchase
Good mouth wash,5.0 out of 5 stars,Nice flavour for daily use,Reviewed in India on 22 August 2023,Verified Purchase
Good,5.0 out of 5 stars,Good and keeps the mouth fresh for long.,Reviewed in India on 20 August 2023,Verified Purchase
Good,5.0 out of 5 stars,Good,Reviewed in India on 15 January 2024,Verified Purchase
Good,5.0 out of 5 stars,Good,Reviewed in India on 23 December 2023,Verified Purchase
Solution of oral problem,5.0 out of 5 stars,It is solution of almost all oral problem.i was facing lot of oral problem before its using but now all problem have been vanished.,Reviewed in India on 9 December 2023,Verified Purchase
As expected,5.0 out of 5 stars,No specific comment,Reviewed in India on 6 November 2023,Verified Purchase
Super,5.0 out of 5 stars,I like it,Reviewed in India on 26 October 2023,Verified Purchase
Good mouth wash,5.0 out of 5 stars,Nice flavour for daily use,Reviewed in India on 22 August 2023,Verified Purchase
Good,5.0 out of 5 stars,Good and keeps the mouth fresh for long.,Reviewed in India on 20 August 2023,Verified Purchase
Good product,5.0 out of 5 stars,"It's good product Highly recommend as it is alcohol free, and doesn't burn, or damage your teeth enamel as alcohol based mouth wash do.",Reviewed in India on 8 August 2023,N/A
Great product.,5.0 out of 5 stars,"Highly recommend as it is alcohol free, and doesn't burn, or damage your teeth enamel as alcohol based mouth wash do.",Reviewed in India on 15 July 2023,Verified Purchase
Better than Listerine,5.0 out of 5 stars,Taste is much better than Listerine. It does not cause any burning effect as well,Reviewed in India on 5 July 2023,Verified Purchase
Mouthwash,4.0 out of 5 stars,Nice and effective,Reviewed in India on 22 February 2023,Verified Purchase
Good product thanks amazon,4.0 out of 5 stars,"Good product and my son is using it regularly, thanks amazon",Reviewed in India on 11 July 2021,Verified Purchase
Good taste,4.0 out of 5 stars,Like the flavour...there are some weird tasting mouthwashes but this is good.,Reviewed in India on 5 December 2019,Verified Purchase
Impressive 🔥,4.0 out of 5 stars,ভালো আছে...,Reviewed in India on 27 October 2019,Verified Purchase
good,4.0 out of 5 stars,ok. not for after alcohol or smoke,Reviewed in India on 21 October 2019,Verified Purchase
oral carr,4.0 out of 5 stars,oral care aid,Reviewed in India on 17 October 2019,Verified Purchase
Good,4.0 out of 5 stars,Nice,Reviewed in India on 13 September 2019,Verified Purchase
Ok,4.0 out of 5 stars,Ok,Reviewed in India on 10 September 2019,N/A
Good quality,4.0 out of 5 stars,good quality,Reviewed in India on 20 August 2019,Verified Purchase
OK,4.0 out of 5 stars,Ok,Reviewed in India on 13 August 2019,Verified Purchase
Average,3.0 out of 5 stars,The product is average.  I have used listerine.  I can clearly view the difference.  This product needs to be more long lasting.  Not as potent as listerine,Reviewed in India on 12 November 2023,Verified Purchase
Good product..,3.0 out of 5 stars,Awsm,Reviewed in India on 7 February 2022,Verified Purchase
Worth the money,3.0 out of 5 stars,Good product to use,Reviewed in India on 20 May 2021,Verified Purchase
Could've been better.,3.0 out of 5 stars,It tastes good. But freshness stays for 10-15 minutes only. And it's not as good as Listerine.,Reviewed in India on 16 August 2019,Verified Purchase
Listerine is better,3.0 out of 5 stars,Not as powerful as Listerine. It doesn't have a good taste. Cleaning effect is also not good. Listerine is way better than this.,Reviewed in India on 23 November 2018,Verified Purchase
Amazon is always amaze us.,3.0 out of 5 stars,The product is good.But i don't like this taste.Got it for 150/-,Reviewed in India on 18 June 2017,Verified Purchase
Three Stars,3.0 out of 5 stars,ok,Reviewed in India on 5 May 2017,Verified Purchase
Price wise cheap than local market,3.0 out of 5 stars,"The best for this price range.If price was not concern I go for Listerine. However, this is also good.Its capable of the job for which it is made and advertised.Using daily at night before sleep.Cheaper than local market at amazon.",Reviewed in India on 13 January 2017,Verified Purchase
Good,3.0 out of 5 stars,Doesn't  last longer but,Reviewed in India on 11 December 2016,Verified Purchase
Three Stars,3.0 out of 5 stars,very good,Reviewed in India on 5 December 2016,Verified Purchase
Useless totally.,2.0 out of 5 stars,"It tastes bad, tongue feels bitter. Waste of money.",Reviewed in India on 9 July 2019,N/A
Bad taste,2.0 out of 5 stars,very bad taste... Don't buy it,Reviewed in India on 21 May 2019,Verified Purchase
Taste is not good,2.0 out of 5 stars,Not good as Listerine and also sometime fell like burning but do its work,Reviewed in India on 24 September 2018,N/A
Normall,2.0 out of 5 stars,Normall,Reviewed in India on 17 September 2018,Verified Purchase
