Index,review_rating,review_title,review_text
1,5,Should use itfor cavities in teeth,Works fine. Use it twice a week. But should rinse thoroughly.
2,4,Four Stars,Paid more for vim dishwasher gel then price given
3,5,Product is as advertised,Product is as advertised
4,4,Four Stars,Have been using for a long time. Effective and pleasant taste.
5,4,Very nice product,I m happy to buy this product..worth buying :-)
6,4,Four Stars,Ok...
7,1,बहुत गन्दा taste like kerosin .,very bad quality mouthwash .it's taste like kerosin oil. Please don't go for it.
8,4,Great Buy,Great buy on lightning deal.Product is made in Thailand.
9,5,Colgate,I love this
10,5,Good,Good nd refreshing
11,3,Amazon is always amaze us.,The product is good.But i don't like this taste.Got it for 150/-
12,5,Good product,This product is good and test is fantastic
13,5,Five Stars,"Good to use in the morning and evening, mouth will be very fresh......"
14,4,Four Stars,Doesn't feel as great as complete care
15,5,Good product,Value for money
16,4,Four Stars,Branded product
17,5,Nice one,Really nice
18,5,Five Stars,"The product of colgate is very good, good results too !"
19,4,Four Stars,Good
20,4,Four Stars,good but not long lasting
21,1,Horrible Taste,"Its weird not sweet , not bubblegum, but medicine like.I trusted the brand and went for this. It tastes weird. The CLOSEUP mouthwash series of clove & spice is good , Listerine is Best but Maxfresh is super weird. Never buying again."
22,4,Good,Good
23,4,Four Stars,Product is good
24,5,Superbb,Cool
25,5,The best,doesn't hurt also
26,4,Four Stars,Good as expected
27,5,Good,Good
28,5,Very refreshing,Love it
29,5,Best,Best
30,5,The best products,Best
31,5,Good,Good
32,4,Mouthwash,Nice and effective
33,5,Solution of oral problem,It is solution of almost all oral problem.i was facing lot of oral problem before its using but now all problem have been vanished.
34,5,Good,Good
35,3,Good product..,Awsm
36,4,Good mouthwash,"I have tried many mouthwash some of them were good and few were averagebut this is really good one from colgate,I was using Listerine from a long time and have decided to try another and I sticked to this one , working nice on teeth's ,It has reduced plaques in my teeth also soft on teeth's as it is alcohol free .It give freshness to mouth.Its cheap to buy on Amazon and delivery from Amazon is quick ,but this time I received a damaged bottle. Hope Amazon will soon improve there packingI recommend this to everyone"
37,5,As expected,No specific comment
38,5,Super,I like it
39,5,Good,Good and keeps the mouth fresh for long.
40,5,Good mouth wash,Nice flavour for daily use
41,5,Great product.,"Highly recommend as it is alcohol free, and doesn't burn, or damage your teeth enamel as alcohol based mouth wash do."
